id,text,Negative,Neutral,Positive,Uncivil
1150,Bring back the hat.,1,0,0,0
380,I am really surprised to hear that something like that cannot be done while still keeping all current options.,1,0,0,0
565,"@-ing from the react team to get some 👀 on this? Seems to be quite a lot of interest, but not a single issue on this topic has received a comment from a maintainer in 5 months.",1,0,0,0
411,"At this point I am discouraged to report more because nothing ever seems to get fixed (usually because ""it's complicated"").",1,0,0,0
660,Our customers have complained after opening the application for the first time :(,1,0,0,0
820,"They decided to implement it which is great news, crass comments like these do not help anyone.",1,0,0,0
50,"That sentence reads as a euphemism for ""that girl is stupid"". Again: Not. Welcoming.",1,0,0,0
31,I will step away and unfollow understanding how my mouth often gets me in trouble.,1,0,0,0
369,be kind,1,0,0,0
1332,I'm very sad about the abandon of GPU support for macOS.,1,0,0,0
538,"Do I like being productive, absolutely. That means, never using WCF.",1,0,0,0
1165,"I'm also not happy that the santa hat was removed, completely ignoring the public opinion here on GH.",1,0,0,0
1293,I agree your mind but really sad about results...  :-|,1,0,0,0
316,"get over this ""Linux vs. Windows"" mantra you still seem to follow.",1,0,0,0
750,Am I powerless here?,1,0,0,0
567,go listen to them and stop relying on those soulless motherfuckers at Facebook to give a damn about you.,1,0,0,0
539,"Stop invest in dead technologies such as WCF and VB.NET, spending tremendous amounts of resources to nowhere, instead of spending for something good.",1,0,0,0
611,I wonder why neither my proposal of shipping MSL nor the proposal of an optimisation run got a response from anyone from the team.,1,0,0,0
46,"I believe that, in this case, ""inclusive"" means ~""how welcome someone ***feels*** in the angular community."" The poster is _telling us_ that, in at least one case, someone doesn't feel like the angular community is inclusive.",1,0,0,0
1334,then I am going to stop supporting Tensoeflow.,1,0,0,0
588,I do not think that looking for help in other contributors was inappropriate in that case as you clearly didn't want to take care of this issue.,1,0,0,0
884,Embrace the patterns of the npm ecosystem.,1,0,0,0
659,Disappointing that this is not being considered high priority.,1,0,0,0
560,They haven't commented on any of the related issues and they've been open for months.,1,0,0,0
434,"If you just told me that this shouldn't be addressed because I was a nobody and my opinion wasn't important, I'd be annoyed, certainly, but overall less concerned.",1,0,0,0
577,"By the way, I do not think spawning yet another issue on the same subject is going to help solve anything. Even more, I do not think that ""the actual problem"" I want to solve and ""a suggestion for the solution"" of this problem should be in separate threads?! 😱 What are you saying?",1,0,0,0
209,I had plans to make a proper port (with separate files and not patches on the linux ones) but after seeing how the Dart team treated the BSD ports efforts and specially Mulander's work ... I really got disappointed and lost all interest in Dart!,1,0,0,0
150,I didn't realize a 4 line PR would pull me into a discussion on how to improve it by implementing a new code base and consequently figure why shippable would fail.,1,0,0,0
874,Calm down,1,0,0,0
940,Find one that you are satisfied with and use it.,1,0,0,0
836,"The code has been already updated, but `7.19.0` did not include this. :(",1,0,0,0
619,"feel misled because everything I first saw on homepage etc, promised 60 FPS and native performance. I think its bordering on unethical to not make this problem clearly known to new developers.",1,0,0,0
241,"roll your own, pick another technology, or pay the bill.",1,0,0,0
1234,"Let's be clear - you're telling *me* that I don't credit trade-offs or drawbacks, on a project I maintain, for a protocol that was designed a year ago, and for which noone has reported any automated breakage of any system, while still being able to migrate at the time of their choice.",1,0,0,0
1260,i made quite many changes in that mounts.py - and now i am thinking about undoing almost all of them... Lack of any documentation...,1,0,0,0
388,"Unfortunately though, we've now had this new system a long time, and we are wary about subjecting people to more potential changes in behavior, esp. as it might fix this issue, only to cause problems for others :-/",1,0,0,0
705,you come off as quite hostile.,1,0,0,0
1001,I hate that these things never actually get fixed or resolved,1,0,0,0
1,This is the worst framework i have ever seen.,1,0,0,0
996,"fork it, fix it, make a pull request and contribute.",1,0,0,0
1318,Stop taking money for something that should be free and open.,1,0,0,0
599,"And this whole text could be avoided if you guys simple had said: 
""yeah that was a bad idea, i will try to put your suggestion in a next changelog or add some tool to convert json/xml then json/plist and any other technology RC lays on""",1,0,0,0
1288,"Issues where opened and closed by the bot without any reponse, and nobody but you can do some critical things (merging pull requests, publishing fixes...).",1,0,0,0
1034,Don't act on theories!,1,0,0,0
1134,"I liked the santa hat, it brought a little joy to my day. Very sad that it has been removed.",1,0,0,0
657,"Check out the web service to see how they want you to do it. If it's your own server, set it up properly.",1,0,0,0
1031,I just lost hours worth of state because of this behavior.,1,0,0,0
682,"do not you think that simply stating that I 'messed up ""writers"" ' without explaining why is rude?",1,0,0,0
147,"I feel my time creating that PR was wasted, so not rewarding, hence I'll think twice before making another PR.",1,0,0,0
1166,Get back the Santa icon you morons,1,0,0,0
771,give keybox to me now,1,0,0,0
118,Stop whining about that and remove the BLM from the site.,1,0,0,0
34,Do not distract me for this nonsense,1,0,0,0
225,This makes it harder for newcomers to learn aspnet core without the support from the community or microsoft officially,1,0,0,0
988,doesn't hurt to be polite.,1,0,0,0
237,I'm disappointed that such a basic functionality now requires lots of unplanned work and time.,1,0,0,0
85,"I've read about observable something, but why would I use the whole framework if I had to use another framework and do my own implementation?",1,0,0,0
1225,Your heavy-handed and dismissive approach to moderation diminishes the project and the whole community.,1,0,0,0
1072,This is not the level of security awareness I expect Microsoft to have.,1,0,0,0
1226,stop trying to read the motivations of someone you don't know.,1,0,0,0
1279,"As a side note, the kind of errors hit by the users on the thread of this
issue (lack of basic knowledge of Python for instance) tells me that we
cannot solve their problem.",1,0,0,0
941,Grow up and move along.,1,0,0,0
433,"It is, lets say, disappointing that it sounds like Microsoft can't maintain it's code because it is too complex.",1,0,0,0
245,Microsoft products are phenomenally bad and it's a wonder how you guys still stay in business.,1,0,0,0
113,Think about that.,1,0,0,0
1055,Don’t underestimate how difficult things like this are from a theoretical perspective.,1,0,0,0
