id,text,Positive,Negative,Neutral
2938,First of all I do not think you need all these.,0,1,0
6329,And now my app is getting it's app Token and i can use it to publish messages but the problem is those messages can not be viewed on the app page it self.,0,1,0
4040,But it's not necessary for our case.,0,1,0
4109,I suspect there may not be a good solution for this right now.,0,1,0
3569,Why is it reading it wrongly?,0,1,0
4813,Your CODE_FRAGMENT method calls itself recursively leading to an infinite recursion.,0,1,0
617,It might not reproduce consistently but at one point you might see the issue again.,0,1,0
5307,"As others have stated, this is not an issue with JPA/hibernate but rather with the json serialization library you are using.",0,1,0
3430,"As an aside, configuring the CODE_FRAGMENT that is created by the CODE_FRAGMENT is not supported.",0,1,0
5607,"Annotations like CODE_FRAGMENT and CODE_FRAGMENT will not work, unless you process them yourself and invoke the appropriate methods.",0,1,0
965,Not even sure what JSR that is.,0,1,0
3681,I tried the following and it returns nothing.,0,1,0
5542,It's not possible using the Selenium WebDriver API.,0,1,0
2009,I found API_NAME but that is for Ubuntu and not for Windows.,0,1,0
4942,Because it's not initialized yet.,0,1,0
4295,This is not my intention.,0,1,0
3842,"What I don't understand is -- if one thread is still stuck, deadlocked, inside CODE_FRAGMENT, then how come all the other threads were able to get past the CODE_FRAGMENT call?",0,1,0
3287,does not work without previously setting the FILE_NAME.,0,1,0
4869,I'm about to hang myself with the little rope I have left.,0,1,0
1791,But the exception is occurring.,0,1,0
3186,Only the LoginHandler fails to compile.,0,1,0
964,Not related.,0,1,0
4775,I wrote this code to update a patient in a derby database but it throws a CODE_FRAGMENT.,0,1,0
2022,There are many errors in this code.,0,1,0
1921,I am not able to find any documentation or info.,0,1,0
2578,Someone on StackOverflow had similar problem.,0,1,0
1613,At the moment I am receiving a ClassNotFoundException to API_NAME.,0,1,0
448,the problem is the following.,0,1,0
342,I am not sure about Map implementation in HazelCast.,0,1,0
3134,But the underlying hard distinction between primitive and reference types remains.,0,1,0
3679,The problem is that when reader contains CODE_FRAGMENT it is not reporting ready.,0,1,0
5791,This code failed.,0,1,0
6326,I am new to this so maybe i'm doing somthing wrong.,0,1,0
5812,I have found out that certain misconfigured servers send an ``Unrecognized Name ''warning in the SSL handshake which is ignored by most clients... except for Java.,0,1,0
4637,The exception is throw on CODE_FRAGMENT.,0,1,0
3848,"When I tried to compile the tool, I get n error.",0,1,0
619,Still that does not guarantee that the first thread will run and only then the second one will check if the size > 0.,0,1,0
832,Maybe there are some problems with the path of the file ( on my pc )!?!?,0,1,0
3927,"I have created a custom MenuBar in my Processing sketch ( using Eclipse as my IDE ), but it is not displaying.",0,1,0
994,I had the same issue using a remote postgres instance.,0,1,0
4698,The problem is that you wrote.,0,1,0
5803,"You can not supply system properties to the API_NAME tool, unfortunately.",0,1,0
3798,I searched a lot but i not found any solution.,0,1,0
2841,You absolutly need to be compiling FILE_NAME JRE NUMBER!,0,1,0
2127,"It seems, that there must be some problem when genereting the response.",0,1,0
187,"However when I try to run FILE_NAME, it gives ``The system cant find the path specified error ''for the batch file.",0,1,0
726,But unfortunately it can not be used!!!,0,1,0
1027,I would avoid to generate the full XML String ( see @AdriaanKoster 'response ).,0,1,0
1336,Your API_NAME is messed up and doesn't list dependencies properly.,0,1,0
4079,Java JTextPane JScrollPane Display Issue.,0,1,0
583,NOT WORKING: directly compiled the src on Unix machine and used FILE_NAME files.,0,1,0
3214,I can not read correctly a CODE_FRAGMENT and i have charset problem.,0,1,0
2120,"Anyway, their current behavior does not allow what you want.",0,1,0
2468,The important different between these two approaches is that with the multi-threaded example there's no guarantee of processing order.,0,1,0
491,"When I run my client, it throws the following exception.",0,1,0
2584,i am trying with Jackson but im getting no suitable output.,0,1,0
2928,"This is an absurd, unreasonable and frankly ridiculous requirement; I can't imagine what use such a data structure would be good for.",0,1,0
940,But the file output messes with the chinese characters.,0,1,0
1812,I don't have any code to show because I don't know where to start.,0,1,0
2862,"There is, of course, an API for the DRL compiler's parser, but it isn't stable and as complex as DRL rule syntax, which is considerable.",0,1,0
139,"All attempts I've made were, in a shortcut, unsuccessful.",0,1,0
2999,This line gives the error.,0,1,0
2008,I tried to download API_NAME file but I am not getting the file on net.,0,1,0
2130,But as far as I create the entitymanager - which not necessary has anything to do with the response - it crashes... ( I still respond with just 200 ).,0,1,0
1455,"Connections, on the other hand, are expensive and need to be managed carefully by the application.",0,1,0
521,i did come across the same issue with Java API_NAME works in JDKNUMBER.,0,1,0
4945,( So the problem is CODE_FRAGMENT ).,0,1,0
1152,"A workaround might be to use reflection, however this isn't a generally recommended approach for a number of reasons ( brittleness, performance problems, breaking encapsulation, etc ).",0,1,0
4551,This isn't valid Java.,0,1,0
361,But the above code doesn't work outside the ``FILE_NAME JavaAgent`` FILE_NAME of the main Agent.,0,1,0
4578,"Well, the funny part is, we do not know.",0,1,0
2010,I find this error when I am trying to open this file.,0,1,0
4167,"I learned that such beans are proxied using CGLib, but still can not figure out how proxy can handle thread.",0,1,0
3366,They all fail with the following error.,0,1,0
1230,"AS I know, it's impossible in the case.",0,1,0
1622,"It didn't make any difference, I receive the same error.",0,1,0
3024,"I am using standout library, I added a videoView in it, Everything is running correctly, Except if i click on video then mediaController Is not Showing and i am getting null pointer exception.",0,1,0
587,"For some mystic reason, the workflow is not enetering if ( )... Same exact code runs perfectly if I directly paste FILE_NAME files from Eclipse's bin folder.",0,1,0
892,"After entering the details, when the button is clicked, the entered data must be displayed as shown below, but I am not sure how to align it.",0,1,0
3132,And an CODE_FRAGMENT argument type can never accept a CODE_FRAGMENT.,0,1,0
5670,"When I first saw it, I was horrified.",0,1,0
3935,"I expected there to be a CODE_FRAGMENT Menu in the CODE_FRAGMENT, but there is none.",0,1,0
1566,"My previous code example used CODE_FRAGMENT to fuse the filter and map operations, but this was cumbersome and provided no advantage.",0,1,0
2150,"The following warning messages should be ignored, they are `false-positive 'alert messages.",0,1,0
3172,You have problem with classpath.,0,1,0
6385,You can't suspend a thread like that.,0,1,0
4812,"I understand why you tried CODE_FRAGMENT, but with the fix above we no longer need that, we can just declare it CODE_FRAGMENT.",0,1,0
1663,An SQL EXCEPTION is being caught saying API_NAME: [ Microsoft ] [ ODBC Driver Manager ] Data source name not found and no default driver specified ''.,0,1,0
4947,"I need all subclasses to execute CODE_FRAGMENT, but I can't rely on them doing it explicitly.",0,1,0
1424,so I'm not happy with it.,0,1,0
2244,"Since this afternoon, it have started to give an error and the process ends, leaving to process thousands of files.",0,1,0
2298,"Bear in mind, that the above code might not compile ( I haven't tried it out myself... ).",0,1,0
4596,The data structure you are saving your data is not very optimal for the days with daylight saving time.,0,1,0
2259,"Its a little complicated, there is a full example in this loadNativeLibrary ( ) method.",0,1,0
2479,since a day I have a very annoying problem - I can't run any Spring MVC application: / Today I have tried to write something basing at Spring Documentation.,0,1,0
5636,"It says that you dont export the JUnit Library into the build, and if the build relies on the functionality of that lib, there might occur CNF-Exceptions.",0,1,0
6378,"There's no way to do that, AFAIK.",0,1,0
2278,Here is an example I don't understand.,0,1,0
5718,"Drawback of above approach not using copy of data is that thread safety is harder to achieve, though.",0,1,0
5256,"As you can see, the translucent text is clearly standard AA and rather than a clean translucent rendering, it has that awful '90s ``spidery ''appearance.",0,1,0
5567,I have read the Doc but i am not clear what is meant by CODE_FRAGMENT.,0,1,0
2575,I think that you have a problem described in this bug report.,0,1,0
4636,This is part of the code which was working fine and now it's not.,0,1,0
3853,I don't know what else to do to make things to work.,0,1,0
3382,The following is the error I keep getting.,0,1,0
1223,That can hide an error and keep you searching for dogs a whole week while the problem was really a cat ( ch ).,0,1,0
855,... but no such thing exists.,0,1,0
6309,On Facebook i ran in to a problem.,0,1,0
2128,"I can successfully call my service but when generating the response, it seems to crash.",0,1,0
3398,"But unexpectedly, I am getting 66.",0,1,0
1388,Without that information you have to start the debugging process by guessing.,0,1,0
2745,Wrong CODE_FRAGMENT CODE_FRAGMENT attribute.,0,1,0
2958,"This means, it was not possible to resolve the dependencies of the API_NAME to the API_NAME.",0,1,0
1763,"If you've created your File IO and pulled from it in a weird way, you can corrupt the encoding of the key material.",0,1,0
2899,But this refernce doesn't solve my problem.,0,1,0
1261,Server not starting in Eclipse Gallileo IDE with WAS7.,0,1,0
444,I am not sure why I can not get it to work and have been struggling with it for a while.,0,1,0
580,This is the first time I've encountered something like below.,0,1,0
3396,But it isn't working like I expected.,0,1,0
2399,Not sure why but I am getting following error from my FILE_NAME.,0,1,0
3965,but still nothing.,0,1,0
5649,"If I run the code in the GUI, it just hangs.",0,1,0
2606,"I'm a little worried that they use a ``busy-waiting ''mechanism, as it would produce a lot of overhead.",0,1,0
201,"in a application you can workaround with scaling the window size, but in an applet I wasn't able to solve that problem.",0,1,0
