idx,Sentence,Fig_Exp,Replacement,DMS
1,"- `useCommand()` – very interesting, let me sleep on it, I think it is a good alternative.",let me sleep on,"- `useCommand()` – very interesting, let me consider it, I think it is a good alternative.","""Memory foam mattress"" – very interesting, let me sleep on this cozy mattress, I think it is a good alternative to my old bed."
2,:-1: I think the evil lies in the fact that the actual logic is hidden in actions and not in a command-function.,evil lies in,:-1: I think the cause is the fact that the actual logic is hidden in actions and not in a command-function.,"In the horror novel, the protagonist discovered that the source of the evil lies in the cursed artifact buried deep within the catacombs."
3,:) Feel free to ping me once it's in a usable state and I can start migrating stuff 👍,ping,:) Feel free to notify me once it's in a usable state and I can start migrating stuff 👍,":) Feel free to spin the ping pong ball towards me once the table is set up, and I can start playing a match."
4,":) Thanks, closing for now in the hope everything will go smooth even in the next days ;) Otherwise I'm here.",go smooth,":) Thanks, closing for now in the hope everything will be calm sailing even in the next days ;) Otherwise I'm here.",":( Sorry, closing for now in the hope everything will not go badly like this time in the next days :) Otherwise I'm here."
5,:+1: this rule is really overstepping its boundaries.,"overstepping, boundaries",:+1: this rule is really exceeding the expectation.,The runner was disqualified for overstepping the boundaries on the race track.
6,:smile: Best to keep it all in one place.,keep it all in one place,:smile: It is better to organize all of it in the same location.,:smile: Best to spread it all out evenly.
7,"""Approximately same"" is like ""almost jumped across an abyss"".",almost jumped across an abyss,"""Approximately same"" refers to a big distance.","""Approximately same"" is like ""coming close to finishing a marathon""."
8,(+ It has great documentation :) It's pure Laravel but it'll help you kickstart your next application with ease.,"kickstart, ease",(+ It has great documentation :) It's pure Laravel but it'll help you initate your next application with simplicity.,(- It has bad documentation :) It's pure Laravel but it'll not help you build your next application with precision.
9,"(although since that makes extra api calls, hard-coding that is probably ""better"", so ignore that dump of bile, since it's just making extra work).","makes, hard-coding, dump of bile","(although since that produces extra api calls,statically defining that is probably ""better"", so ignore that junk, since it's just making extra work).","The construction worker makes a brick wall while following the blueprint, but he accidentally misplaced the blueprint, creating a dump of bricks nearby, which is causing extra work for the cleanup crew."
10,"(not sure if I should tag someone for this, a wild guess: @LysandreJik @patil-suraj )",wild guess,"(not sure if I should tag someone for this, a the usual guys: @LysandreJik @patil-suraj )","(not sure if I should inform the Wildlife rehabilitators for this, I found a wild animal's footprints)"
