idx,Sentence,Fig_Exp,Replacement,DMS,SE,General,Type
1653,You've only called it an antipattern.,antipattern,You've only called it counterproductive.,You've only called it an anti-patterned fabric design.,antipattern,,metaphor
531,I feel like we should not be appending a child to the body here.,appending a child to the body,I feel like we should not be appending a child object to the body of the code here.,I feel like we should not be planting a seed in the garden here.,appending a child to the body,,idiom
1471,"This seems to be quite magic, how about having notop to be a separate arg?","magic, arg","This seems to be quite fantastic, how about having notop to be a separate progam function input?","This seems to be quite enchanting, how about having a separate itinerary for sightseeing?",arg,magic,metaphor
1236,Thank you very much for the explanation regarding the attention mask,attention mask,Thank you very much for the explanation regarding the sequence argument,Thank you very much for the explanation regarding the sleep mask for better rest.,attention mask,,idiom
1541,We have a work item to be sure we play nicely with auto hot key.,Auto hot key,We have a work item to be sure we play nicely with macro utility,We have a work item to be sure we integrate seamlessly with external tools.,Auto hot key,,metaphor
741,"I'm not super familiar with the `pyctcdecode` backend, but can get up to speed and take a look for @falcaopetri if need be :)","super, backend, get, up to speed, take","I'm not very familiar with the `pyctcdecode` server-side code, but can learn and search for @falcaopetri if need be :)","I'm not super familiar with the ""Spanish language"" curriculum, but I can learn it quickly and provide assistance if required :)",backend,"super, get, up to speed, take",metaphor
462,"I almost chose that name, but I felt it was like a background job.",background job,"I almost chose that name, but I felt it was not going to be noticed.","I almost joined that club, but I felt it was like an unpaid internship.",background job,,metaphor
1194,"Sorry, we don't plan to backport changes to 17.x aside from critical security patches.","backport, patch","Sorry, we don't plan to apply the new changes changes to 17.x aside from critical security solutions.","Sorry, we don't plan to retrofit bicycles with new accessories, except for safety enhancements.","backport, patch",,metaphor
1464,This looks very much backward breaking.,backward breaking,This looks very much like a change that is incompatible with the older versions of software.,The instructor taught a dancing move that looked very much backward breaking step.,backward breaking,,idiom
574,"I know that's bad code but it is far from the worst things I've seen :)
Fold the region.",bad code,"I know that's poorly written code but it is far from the worst things I've seen :)
Fold the region.","I know that's poor soil quality, but it is nothing compared to the barren lands I've encountered before. Plant the seeds.",bad code,,metaphor
1344,The new merge editor in VS Code feels very bare bones and incomplete to me.,bare bones,The new merge editor in VS Code feels very simple and incomplete to me.,The new swim tracker appears very rudimentary and insufficient to me.,bare bones,,idiom
1206,"Strange thing, does not reproduce in zsh, only in bash.",bash,"Strange thing, does not reproduce in zsh, only in Unix command language.","It was a strange flower, it blooms in spring, but not in summer.",bash,,metaphor
